rmse_x,rmse_y,rmse_vx,rmse_vy
Listening to port 4567
Connected!!!
nis
0.287757,0.0196602,5.19994,0
0.21633,0.0348548,3.96324,0.00127057
0.176727,0.0537196,3.36723,1.54421
0.163382,0.0520493,3.07108,1.45825
0.14618,0.0536242,2.88341,1.33168
0.134312,0.0525874,2.64848,1.2288
0.124386,0.0512422,2.46611,1.14456
0.117166,0.0485402,2.30789,1.07182
0.110913,0.0472471,2.17683,1.01237
0.105522,0.046263,2.06577,0.961179
0.101947,0.0455636,1.96993,0.917306
0.0979019,0.0476902,1.88662,0.897669
0.0942249,0.0675253,1.81315,0.935671
0.0913505,0.0709935,1.749,0.918666
0.0893129,0.0748593,1.69136,0.901817
0.0873388,0.0750947,1.63791,0.877671
0.0851388,0.0732041,1.58929,0.852642
0.0832931,0.0712177,1.54542,0.828872
0.0810716,0.0693547,1.50442,0.806799
0.0790213,0.0677298,1.46651,0.786477
0.077759,0.0663356,1.43171,0.767804
0.0762153,0.0693145,1.39887,0.755192
0.0746762,0.0680716,1.36822,0.738928
0.0731626,0.0667646,1.33961,0.723562
0.0716857,0.0661826,1.31274,0.709796
0.0703377,0.0673175,1.28866,0.698475
0.0699469,0.0665939,1.26653,0.686144
0.0687367,0.0664164,1.24381,0.674663
0.0675791,0.0688791,1.22229,0.665828
0.0665362,0.0721353,1.20204,0.658402
0.0658287,0.0766876,1.18283,0.652372
0.0648762,0.0782965,1.16482,0.644018
0.0640511,0.079342,1.1475,0.635686
0.0631459,0.0806092,1.13113,0.627963
0.0622397,0.0826363,1.11531,0.621157
0.061633,0.0837393,1.10052,0.614007
0.0617524,0.0830362,1.08662,0.60594
0.0617851,0.0820768,1.07223,0.598277
0.0612146,0.0810534,1.05843,0.590823
0.0605036,0.0800468,1.04608,0.583924
0.0598173,0.0793554,1.03436,0.577908
0.0591182,0.0789854,1.02198,0.571991
0.0588801,0.0790977,1.01008,0.566696
0.0584471,0.0798836,0.998543,0.562454
0.0578752,0.0811457,0.987399,0.558787
0.0575645,0.0822174,0.977042,0.554463
0.0573761,0.085109,0.967084,0.551658
0.0576233,0.0889681,0.958311,0.549238
0.0573011,0.0913154,0.949339,0.545973
0.0577458,0.0931702,0.942251,0.541966
0.0577113,0.0939501,0.93475,0.537503
0.057155,0.0943537,0.925727,0.534177
0.0566986,0.0945059,0.916961,0.530579
0.0562292,0.0948938,0.908444,0.527294
0.0558159,0.0945751,0.900185,0.52333
0.0558329,0.0943603,0.893095,0.518993
0.0556317,0.0949564,0.886002,0.515408
0.0557389,0.0950658,0.879804,0.51133
0.0559034,0.0944051,0.873654,0.506992
0.056108,0.0936708,0.866674,0.502917
0.0564574,0.0929648,0.859901,0.498778
0.0569314,0.0922222,0.85326,0.494784
0.0577983,0.0915133,0.846896,0.490869
0.0586141,0.090804,0.840282,0.487465
0.0593433,0.0903647,0.833831,0.483779
0.0605885,0.0899511,0.827751,0.480109
0.0613817,0.0896774,0.821737,0.476514
0.0616118,0.0893042,0.815902,0.473987
0.0614785,0.0898489,0.810228,0.470748
0.0613127,0.0900049,0.80457,0.467677
0.0609554,0.0904401,0.799064,0.464543
0.0605609,0.0903743,0.79371,0.461878
0.0602448,0.089915,0.788341,0.459714
0.0598809,0.0893871,0.783193,0.458285
0.0595762,0.0890074,0.778038,0.456221
0.0592977,0.0886837,0.772908,0.453726
0.0589152,0.089101,0.7679,0.450821
0.0585364,0.0895324,0.763015,0.448046
0.0581656,0.0892674,0.758194,0.445806
0.0578192,0.0890677,0.753497,0.443073
0.058021,0.0885522,0.749175,0.440692
0.0578631,0.0880177,0.744605,0.440231
0.0575358,0.0876752,0.740107,0.438315
0.0572487,0.0872632,0.735744,0.436168
0.0569174,0.0868848,0.73142,0.433981
0.0566015,0.0864603,0.727246,0.431584
0.0563187,0.086074,0.723168,0.430084
0.05603,0.0858917,0.719157,0.4293
0.0559477,0.0861442,0.715594,0.428861
0.0558662,0.0867179,0.711976,0.429563
0.0564734,0.0870737,0.708807,0.429165
0.0568595,0.0880334,0.705343,0.431359
0.057546,0.0886167,0.702097,0.431897
0.0583163,0.0889149,0.699173,0.430554
0.059001,0.0886573,0.696199,0.428452
0.059352,0.0886201,0.69291,0.427624
0.0599316,0.088218,0.689701,0.425725
0.0604394,0.0877745,0.686524,0.423596
0.061036,0.0873334,0.68342,0.421471
0.0609695,0.087004,0.680029,0.421835
0.0614856,0.0866271,0.676795,0.421247
0.062166,0.0862447,0.673777,0.419228
0.0625131,0.0859349,0.670624,0.41738
0.0625135,0.0855284,0.667415,0.41594
0.0628674,0.0851359,0.6643,0.414307
0.0634342,0.0847398,0.661285,0.413065
0.063796,0.084422,0.658297,0.412028
0.0641062,0.0841655,0.65535,0.410672
0.0644647,0.0837793,0.652403,0.408836
0.0647949,0.0834497,0.649509,0.407458
0.064917,0.083081,0.646589,0.405662
0.0649219,0.0827092,0.643701,0.403933
0.064639,0.0824648,0.640933,0.402175
0.0643601,0.0821584,0.638174,0.400453
0.0642742,0.0818148,0.635394,0.398708
0.0640714,0.0815329,0.632667,0.399181
0.0643895,0.0815658,0.630173,0.400528
0.0649063,0.0820093,0.627792,0.401877
0.0651228,0.0821938,0.625245,0.401824
0.0653964,0.0825076,0.622715,0.401043
0.0656155,0.0831568,0.620219,0.400424
0.065925,0.084148,0.61779,0.400046
0.0659212,0.0846026,0.615275,0.398819
0.0657898,0.0852856,0.612789,0.398487
0.0655741,0.0851268,0.610786,0.396965
0.0653139,0.0849009,0.60859,0.395406
0.065543,0.0845968,0.60715,0.393988
0.0657618,0.0842725,0.605527,0.392774
0.0656698,0.0839847,0.603431,0.39132
0.0656662,0.083805,0.601315,0.389818
0.0654163,0.0841372,0.599026,0.388762
0.0652628,0.0844688,0.596882,0.387667
0.0650179,0.0844582,0.594635,0.386239
0.064775,0.0846626,0.592415,0.384929
0.0646008,0.0852061,0.590316,0.383847
0.0645278,0.0855356,0.588286,0.38259
0.0643144,0.0861208,0.586171,0.381364
0.0641013,0.0864828,0.584053,0.380036
0.0639337,0.0864405,0.582071,0.378696
0.0638435,0.086801,0.580111,0.377368
0.0637721,0.08696,0.578191,0.37603
0.0635725,0.0871605,0.576164,0.374723
0.0635458,0.0869992,0.574211,0.373475
0.0635828,0.0867075,0.572291,0.372433
0.0633802,0.0864093,0.570321,0.371352
0.0631999,0.0861237,0.568365,0.370223
0.0629951,0.0858324,0.566433,0.369196
0.0628453,0.0855571,0.564551,0.368252
0.0627653,0.0852763,0.562706,0.367248
0.0627761,0.0850064,0.560988,0.366252
0.0632631,0.084743,0.559579,0.365261
0.0641316,0.0844647,0.5588,0.364146
0.0648734,0.0842016,0.557599,0.36296
0.0655836,0.0839292,0.556232,0.361786
0.0655348,0.08368,0.554436,0.360628
0.0656749,0.083417,0.55275,0.359475
0.0658234,0.0831524,0.551063,0.358333
0.0659811,0.0828909,0.549449,0.357214
0.0660332,0.0827586,0.547742,0.35626
0.0661595,0.0827428,0.546077,0.355445
0.0660146,0.082852,0.544399,0.354756
0.065966,0.0832442,0.542718,0.354339
0.0657645,0.0840257,0.541168,0.354198
0.0655638,0.0847615,0.540109,0.353791
0.0655183,0.0849601,0.538558,0.353049
0.0654235,0.0851357,0.537056,0.352286
0.065256,0.0854138,0.536043,0.351565
0.0652518,0.0855988,0.5363,0.350629
0.0657465,0.0858266,0.53714,0.349694
0.0666774,0.0860585,0.537598,0.348804
0.0666586,0.0860702,0.536528,0.347855
0.0669,0.0862307,0.535636,0.346988
0.066738,0.0864926,0.534188,0.34621
0.0666027,0.0868283,0.532777,0.345475
0.0664231,0.0871942,0.531302,0.344768
0.0662744,0.0875728,0.529807,0.344199
0.0663583,0.0877347,0.528562,0.343518
0.0664647,0.0879154,0.527127,0.34271
0.0669405,0.0880193,0.525832,0.34188
0.0673296,0.0880629,0.524386,0.340959
0.0679324,0.0880317,0.522982,0.340032
0.0683763,0.087923,0.521549,0.339097
0.069377,0.087744,0.520225,0.33817
0.0708126,0.0876316,0.519261,0.337339
0.0713691,0.0875218,0.517897,0.336489
0.0718082,0.087492,0.516516,0.335709
0.0721739,0.0873379,0.515134,0.334852
0.0722227,0.0871293,0.513976,0.333988
0.0720587,0.0869264,0.513128,0.333132
0.071931,0.0867335,0.511906,0.332283
0.0717496,0.0865124,0.510815,0.331416
0.0715776,0.0862876,0.510206,0.330595
0.0717418,0.0860651,0.51027,0.329824
0.0717973,0.0858432,0.509143,0.329319
0.0716133,0.0856253,0.507837,0.328818
0.0714824,0.0854319,0.506948,0.327981
0.0713092,0.0852427,0.505778,0.327148
0.0711602,0.0850441,0.5045,0.326515
0.0709943,0.0850301,0.50325,0.325711
0.0708203,0.084898,0.501993,0.325394
0.0706514,0.0847428,0.500743,0.325111
0.0704794,0.0846631,0.499843,0.324323
0.0703189,0.0846845,0.498993,0.323564
0.0701591,0.0846749,0.498316,0.32291
0.0700014,0.0845449,0.497592,0.322144
0.06989,0.0844903,0.497201,0.321575
0.0697219,0.0846073,0.496421,0.321054
0.0695544,0.0845788,0.495357,0.320358
0.0694102,0.0844747,0.494228,0.319756
0.0692671,0.0844307,0.493211,0.318997
0.0694305,0.0843266,0.492044,0.318286
0.0694654,0.0843691,0.49106,0.317729
0.0693502,0.0844575,0.49026,0.317192
0.0692116,0.0844181,0.489285,0.316505
0.0692175,0.084335,0.488195,0.315884
0.0692996,0.0841645,0.487064,0.316258
0.0691724,0.0839709,0.486317,0.316534
0.0690727,0.0837846,0.485605,0.317258
0.0689152,0.0836222,0.484728,0.318101
0.0687684,0.0834443,0.484232,0.317624
0.0692669,0.0832561,0.484901,0.316981
0.0698809,0.0830686,0.485942,0.316285
0.0704974,0.0828824,0.486844,0.315581
0.071187,0.0827076,0.487786,0.314939
0.0722701,0.0825707,0.489007,0.314346
0.0733167,0.0824405,0.490031,0.313726
0.0735568,0.0822798,0.490018,0.31304
0.0740331,0.0821471,0.490526,0.312802
0.0740373,0.0820369,0.490255,0.312428
0.0741159,0.0819037,0.489809,0.311757
0.0740376,0.0817331,0.489096,0.311158
0.0739651,0.0815591,0.488341,0.310825
0.0738942,0.0813927,0.487611,0.310324
0.0738989,0.0812503,0.487104,0.309662
0.0739922,0.0811691,0.486713,0.309022
0.0739771,0.0810487,0.48606,0.308447
0.0739501,0.0808851,0.485367,0.308168
0.0740233,0.0807183,0.48496,0.307525
0.0740438,0.0805494,0.484449,0.306883
0.0739424,0.0803849,0.483737,0.306257
0.0739939,0.0802187,0.483275,0.305621
0.0742862,0.0801104,0.483141,0.305095
0.0743697,0.0799792,0.482702,0.304487
0.0742659,0.0798827,0.482106,0.304369
0.0741211,0.0797583,0.481351,0.304
0.0740128,0.0796696,0.480653,0.303446
0.0740684,0.0797687,0.480252,0.303109
0.0744171,0.0801165,0.480344,0.303987
0.0749335,0.0805518,0.480517,0.304647
0.0751573,0.0809145,0.480223,0.304497
0.0752938,0.0810106,0.479739,0.30397
0.0753555,0.0811229,0.479246,0.303924
0.0753229,0.0811187,0.478569,0.303496
0.0753323,0.0811094,0.477914,0.30295
0.0752095,0.0809642,0.477044,0.302437
0.0750654,0.0808135,0.476164,0.301868
0.0749846,0.080675,0.475246,0.301397
0.0748926,0.08053,0.474325,0.300958
0.0747577,0.0803748,0.473438,0.300385
0.0746198,0.0803228,0.472616,0.300186
0.0744847,0.0802686,0.471788,0.29983
0.074411,0.0801551,0.470896,0.299345
0.0743577,0.080003,0.47,0.298795
0.0742964,0.0798549,0.469112,0.298271
0.0742957,0.0797614,0.468227,0.298009
0.0743523,0.079652,0.467363,0.297588
0.0745481,0.0797097,0.466552,0.297711
0.0749253,0.079872,0.465838,0.298098
0.0750015,0.079871,0.464977,0.297704
0.0750333,0.079755,0.464119,0.297153
0.0749235,0.0796095,0.463344,0.296704
0.0748187,0.0797126,0.462504,0.296637
0.0746819,0.0797836,0.461732,0.29635
0.0745466,0.0798009,0.461058,0.295844
0.074438,0.0797854,0.46054,0.295314
0.0743222,0.0796456,0.459935,0.29479
0.0741905,0.0795432,0.459312,0.294443
0.0740597,0.0794061,0.458503,0.294102
0.0739414,0.0792978,0.457718,0.294183
0.0738787,0.0793299,0.457019,0.294605
0.073777,0.0792945,0.456298,0.294674
0.0736577,0.0794211,0.455488,0.296559
0.0735543,0.0797272,0.454686,0.298553
0.0734304,0.0798981,0.453912,0.299075
0.0733021,0.0799901,0.45313,0.299253
0.0731875,0.080081,0.45234,0.299417
0.0730634,0.0804307,0.451593,0.299979
0.072948,0.0808,0.450948,0.300054
0.0728576,0.080971,0.45036,0.299823
0.0727605,0.0813977,0.449753,0.299946
0.0726537,0.0813866,0.449138,0.299514
0.0725558,0.0814,0.448455,0.299297
0.0724473,0.0814983,0.447764,0.299206
0.0723438,0.0816822,0.447102,0.299165
0.0722287,0.0820744,0.446423,0.299385
0.0721367,0.0824244,0.446088,0.298983
0.0721145,0.0828374,0.445868,0.298641
0.072155,0.0830391,0.44589,0.298147
0.0721316,0.0832714,0.445748,0.297683
0.0721377,0.083555,0.44552,0.297318
0.0722093,0.0838154,0.445342,0.296966
0.0724689,0.0839072,0.445542,0.29648
0.0728105,0.083785,0.445775,0.296044
0.0731727,0.0836801,0.445665,0.295568
0.0738031,0.083646,0.44569,0.29518
0.0741896,0.0836284,0.445175,0.295157
0.0744527,0.0836342,0.444587,0.295172
0.074771,0.0836511,0.443991,0.295258
0.0748616,0.0837961,0.443304,0.295552
0.0749405,0.0839068,0.44263,0.295674
0.0748604,0.0841034,0.441918,0.295877
0.0748275,0.0842706,0.441296,0.295732
0.0750051,0.0844367,0.440819,0.295603
0.0752754,0.0845646,0.440399,0.295431
0.075766,0.0845595,0.440098,0.295132
0.0764588,0.0845204,0.440237,0.294704
0.0771957,0.0844081,0.440314,0.294247
0.077814,0.084318,0.439672,0.294164
0.0785191,0.0841896,0.439053,0.293923
0.0794462,0.0840581,0.438851,0.293492
0.0798927,0.0839324,0.43834,0.293051
0.0801818,0.0838043,0.437664,0.292689
0.0804872,0.0837422,0.436993,0.292246
0.0809918,0.0837767,0.436727,0.291846
0.0814703,0.0837789,0.436368,0.291415
0.0817685,0.0837549,0.435712,0.291002
0.0820413,0.0836699,0.435062,0.290656
0.082379,0.0835783,0.434425,0.290272
0.0824572,0.0836557,0.433766,0.289831
0.0824579,0.0836793,0.43312,0.289393
0.0823672,0.083585,0.432533,0.289012
0.0822936,0.083501,0.431935,0.288586
0.08219,0.0833819,0.431301,0.288205
0.0820854,0.0832761,0.430708,0.287798
0.081976,0.0832447,0.430099,0.287368
0.0819319,0.0832405,0.429605,0.286941
0.0818171,0.0833836,0.428994,0.286537
0.0816962,0.0833891,0.428395,0.286117
0.081584,0.0833867,0.427839,0.285701
0.0814813,0.0833947,0.427213,0.285284
0.081397,0.0835133,0.4266,0.284869
0.0813013,0.0836798,0.42599,0.284457
0.081185,0.0836636,0.425448,0.284087
0.0810707,0.0836265,0.424832,0.283743
0.0809531,0.0835642,0.424229,0.283429
0.0808379,0.0835101,0.423666,0.283116
0.0807216,0.0837157,0.423129,0.282708
0.0806067,0.0839899,0.422527,0.282302
0.0804954,0.0847269,0.421922,0.281995
0.0803859,0.0857467,0.42132,0.281778
0.0803376,0.0857131,0.420817,0.281643
0.0802658,0.0856289,0.420219,0.28155
0.0801988,0.0855883,0.419624,0.28136
0.0801051,0.0855382,0.419034,0.281182
0.080066,0.0854496,0.418445,0.28114
0.0800023,0.0853453,0.41786,0.281162
0.0800213,0.0852574,0.417299,0.281738
0.0801753,0.0851713,0.417116,0.282651
0.0803795,0.085136,0.416857,0.283679
0.0805635,0.0851271,0.416299,0.284326
0.0806014,0.0851415,0.415725,0.284818
0.0806992,0.0852502,0.415158,0.285611
0.0806208,0.0851344,0.414642,0.285327
0.0805678,0.085018,0.414124,0.285356
0.080458,0.0849343,0.413557,0.28503
0.08035,0.0848572,0.413097,0.284642
0.0802415,0.084758,0.412589,0.284281
0.0801333,0.0846683,0.412132,0.283899
0.0800299,0.0845924,0.411606,0.283835
0.0799285,0.0845124,0.411057,0.283806
0.0798214,0.0844459,0.410537,0.283424
0.0797143,0.0843575,0.409985,0.2831
0.0797034,0.0842608,0.409496,0.283228
0.0797251,0.0841797,0.409002,0.283347
0.0796398,0.0840674,0.408456,0.283049
0.0795659,0.0839568,0.407913,0.282717
0.0794964,0.0838518,0.407372,0.282463
0.0793976,0.0837503,0.406886,0.282108
0.0792948,0.0836437,0.40646,0.281758
0.0792001,0.0835345,0.406169,0.281417
0.0791032,0.0834891,0.405819,0.281086
0.0790247,0.0834406,0.405564,0.280724
0.0789768,0.0833382,0.405362,0.28039
0.0789628,0.0832437,0.404961,0.280056
0.0789817,0.0831816,0.404587,0.279818
0.0789795,0.083119,0.404086,0.279459
0.0788959,0.0831269,0.403563,0.27913
0.0787974,0.0831512,0.403066,0.278774
0.0787064,0.0831339,0.402621,0.278425
0.0786175,0.0830787,0.402178,0.278103
0.0785186,0.0830531,0.401712,0.278682
0.0784184,0.083051,0.401219,0.279011
0.0783204,0.083191,0.400716,0.279608
0.0782223,0.0833727,0.400209,0.279988
0.0781255,0.0834016,0.399709,0.279859
0.0780429,0.0835165,0.399235,0.279884
0.077967,0.0836226,0.398767,0.279798
0.0778726,0.0838385,0.398277,0.279821
0.077775,0.0838902,0.397786,0.279525
0.077678,0.083918,0.397314,0.279192
0.0775984,0.0838142,0.396915,0.279117
0.0775192,0.0837173,0.396542,0.279062
0.0774381,0.0837533,0.396205,0.279556
0.0773446,0.0838133,0.395792,0.279773
0.0772534,0.0840205,0.395353,0.280199
0.0771653,0.0844311,0.394881,0.280628
0.0770743,0.0846326,0.394408,0.280501
0.0769994,0.084681,0.393925,0.280158
0.0769376,0.0846019,0.393455,0.279945
0.0768815,0.08451,0.392986,0.279748
0.0768537,0.0844285,0.392545,0.279952
0.0768725,0.084398,0.39218,0.280556
0.0768998,0.0843083,0.391777,0.28056
0.0769307,0.0842201,0.391321,0.280342
0.0769247,0.0841925,0.39085,0.280092
0.0769739,0.0841867,0.390382,0.279825
0.0770388,0.0841189,0.38992,0.27949
0.0771039,0.0840339,0.389459,0.279161
0.0774021,0.0839451,0.389084,0.279032
0.0777194,0.0838783,0.388702,0.278943
0.0778728,0.0837796,0.388248,0.27865
0.0779764,0.0836928,0.387822,0.278523
0.0781613,0.0836144,0.387415,0.278409
0.0783042,0.0835539,0.386995,0.278331
0.0783558,0.0834567,0.38654,0.278049
0.0783546,0.0833605,0.38613,0.277727
0.0782958,0.0832715,0.385763,0.277424
0.078233,0.0832039,0.385446,0.27714
0.0781627,0.0831833,0.385116,0.27695
0.0781444,0.0832203,0.384722,0.277419
0.0781555,0.083333,0.384341,0.277972
0.0782709,0.0835497,0.384131,0.2789
0.0782287,0.0834962,0.383698,0.278865
0.0781804,0.0835245,0.383295,0.279103
0.0780976,0.0834943,0.382855,0.279088
0.0780081,0.0835075,0.382433,0.279065
0.0779221,0.0835573,0.382002,0.279106
0.0778413,0.0836018,0.381883,0.278913
0.0777532,0.0836181,0.381677,0.278714
0.0776697,0.0836035,0.381243,0.278686
0.0775874,0.0835866,0.38081,0.278634
0.0775323,0.0836134,0.380422,0.278746
0.0774804,0.0840592,0.380078,0.279541
0.0774984,0.0845671,0.380286,0.280797
0.0776472,0.0849026,0.380509,0.281586
0.0777083,0.0852361,0.380174,0.281918
0.0776712,0.0853944,0.379754,0.281925
0.0777268,0.0855961,0.379695,0.282202
0.0778869,0.0858177,0.37969,0.282446
0.0782527,0.0861389,0.380304,0.282942
0.0786577,0.0865318,0.380767,0.28339
0.079019,0.0868953,0.380764,0.283592
0.0790862,0.0871363,0.380423,0.28355
0.079247,0.0874586,0.38015,0.283587
0.0793004,0.0876413,0.379767,0.283446
0.0792758,0.0879598,0.379429,0.283332
0.0791908,0.0880201,0.379378,0.283038
0.0791057,0.0880522,0.378971,0.282777
0.0790531,0.088002,0.378623,0.282471
0.079006,0.0879397,0.378262,0.282166
0.0790217,0.0878449,0.377988,0.281891
0.0790583,0.0877517,0.377675,0.281606
0.0790826,0.0876882,0.377349,0.281358
0.0791355,0.0876474,0.377057,0.281119
0.0791137,0.0875578,0.37667,0.280817
0.079076,0.0874706,0.376267,0.280518
0.078992,0.087401,0.375949,0.280339
0.0789812,0.0873263,0.375751,0.280118
0.0789939,0.0872443,0.375555,0.279899
0.0789547,0.0871887,0.375215,0.279796
0.0788846,0.0873014,0.374955,0.280008
0.0788188,0.0874673,0.374633,0.280294
0.0788854,0.0873805,0.374247,0.280085
0.0789072,0.0872904,0.37398,0.279878
0.078899,0.0872197,0.373736,0.279752
0.0788974,0.0871566,0.373399,0.279653
0.0789027,0.0870708,0.37303,0.2794
0.0789054,0.0869971,0.372709,0.279134
0.0788571,0.0869085,0.372465,0.278984
0.0787905,0.0868201,0.372404,0.278838
0.07872,0.0867488,0.372255,0.278592
0.0786647,0.086678,0.372008,0.27835
0.0785865,0.086612,0.371815,0.278116
0.0785363,0.0865225,0.371671,0.278071
0.0786009,0.0864453,0.371696,0.278171
0.0786579,0.0863754,0.371439,0.278302
0.0786451,0.0863279,0.37109,0.278565
0.0785805,0.086255,0.371122,0.278617
0.0785183,0.0861679,0.371014,0.278524
0.0784398,0.0860892,0.371063,0.278589
0.0783599,0.0860015,0.370952,0.278554
0.078294,0.0859268,0.371025,0.278652
0.0782176,0.0858398,0.370891,0.278617
0.0781717,0.0857802,0.370901,0.278803
0.0784445,0.0858865,0.371647,0.279437
0.0788319,0.0860032,0.372637,0.280028
0.078813,0.0859701,0.372512,0.280228
0.0788198,0.0859547,0.372703,0.280397
0.0787701,0.0859432,0.372589,0.280553
